genero,plataforma,idioma,dia_lanzamiento,anno_lanzamiento,duracion_seg,tempo_bpm,energia,valencia,bailabilidad,instrumentalidad,loudness_db,popularidad_artista,num_colaboraciones,semanas_en_charts,reproducciones_millones,gastos_produccion_usd,sello_discografico,streams_categoria
Clasica,Spotify,Espanol,Lunes,2019,258,142,0.545,0.485,0.699,0.046,-13.8,49,0,12,0.95,75615.0,Independiente,0
R&B,YouTube Music,Espanol,Martes,2021,194,145,0.744,0.495,0.324,0.099,<null>,84,1,21,16.27,253838.0,Warner,2
Hip-Hop,Spotify,Ingles,Sabado,2020,280,129,0.455,0.425,0.38,0.429,-3.8,18,0,31,1.09,98549.0,Sony,1
Pop,Spotify,Frances,Jueves,2011,226,118,0.874,0.727,0.54,0.065,-5.2,74,0,7,22.3,59640.0,Sony,3
Hip-Hop,Apple Music,Coreano,Martes,2021,208,108,0.611,0.84,0.823,0.189,-5.0,88,0,21,5.35,143656.0,Sony,1
Rock,Apple Music,Ingles,Jueves,2016,170,108,0.381,0.335,0.504,0.161,-6.0,42,2,22,14.25,5634.0,Independiente,1
Rock,Apple Music,Ingles,Jueves,2019,217,162,0.553,0.072,0.343,0.001,-11.4,8,0,41,1.42,303060.0,,0
Metal,Apple Music,Ingles,Miercoles,2015,281,110,0.428,0.681,0.076,0.204,-4.1,19,2,19,3.22,293114.0,Warner,0
Pop,Spotify,Espanol,Domingo,2018,133,80,0.495,0.681,0.462,0.223,-4.5,89,2,22,6.52,272051.0,Universal,1
Clasica,Spotify,Ingles,Lunes,2018,205,149,0.442,0.489,0.762,0.222,3.5,95,0,16,14.69,32539.0,Universal,3
Hip-Hop,YouTube Music,Espanol,Viernes,2012,195,88,0.761,0.291,0.451,0.189,-11.3,5,1,17,3.18,80012.0,Warner,0
Reggaeton,Spotify,Espanol,Sabado,2018,154,96,0.829,0.4,0.528,0.182,<null>,18,0,17,12.27,494160.0,Universal,1
Pop,Apple Music,Espanol,Lunes,2023,180,116,0.638,0.872,0.808,0.326,-11.7,39,0,42,5.48,281796.0,Sony,1
Rock,YouTube Music,Ingles,Martes,2010,242,117,0.865,0.415,0.727,0.067,-13.2,100,1,51,5.84,192417.0,Sony,3
Pop,Tidal,Ingles,Sabado,2019,188,116,0.654,0.512,0.327,0.074,-8.4,12,0,42,4.19,338164.0,,0
Cumbia,YouTube Music,Portugues,Sabado,2010,254,121,0.436,0.386,0.478,0.229,-13.0,34,1,28,5.78,109120.0,Warner,0
Clasica,Spotify,Portugues,Miercoles,2017,197,104,0.419,0.248,0.489,0.112,-1.5,70,0,50,4.27,387842.0,,1
Hip-Hop,YouTube Music,Coreano,Jueves,2020,206,85,0.857,0.609,0.7,0.122,-3.2,68,2,49,14.43,405938.0,Sony,3
Rock,Deezer,Espanol,Lunes,2015,245,110,0.711,0.29,0.406,0.399,<null>,94,0,15,6.87,219354.0,Universal,0
Cumbia,Apple Music,Ingles,Jueves,2020,204,94,0.695,0.514,0.924,0.397,-8.4,41,0,44,20.95,453109.0,Warner,3
Rock,Deezer,Ingles,Jueves,2014,221,133,0.486,0.444,0.882,0.259,-8.5,65,0,16,0.3,36555.0,Sony,0
Pop,Apple Music,Portugues,Miercoles,2024,190,106,0.763,0.793,0.602,0.164,-6.5,2,0,12,0.64,463325.0,Independiente,0
Reggaeton,Apple Music,Espanol,Sabado,2013,197,113,0.881,0.85,0.663,<null>,-7.0,32,0,21,3.1,255138.0,Universal,2
Cumbia,Spotify,Espanol,Sabado,2020,241,145,0.412,0.178,0.564,0.103,-4.5,31,0,50,0.22,388758.0,Universal,0
Pop,YouTube Music,Espanol,Domingo,2014,180,122,0.868,0.518,0.219,0.128,-2.8,23,1,28,27.86,,Warner,2
Rock,Spotify,Coreano,Lunes,2016,166,101,0.656,0.48,0.596,0.493,4.8,54,1,35,3.41,327766.0,Universal,0
Cumbia,Spotify,Frances,Miercoles,2016,198,111,0.722,0.256,0.58,0.098,-10.5,68,0,19,6.68,335374.0,Warner,1
Pop,Spotify,Ingles,Domingo,2011,209,118,0.869,0.65,0.516,0.549,-7.3,59,1,12,4.11,456342.0,Universal,3
Pop,Spotify,Frances,Jueves,2020,170,130,0.381,0.224,0.358,0.654,-9.4,48,3,23,6.11,,Universal,1
Reggaeton,Spotify,Espanol,Lunes,2017,267,117,0.305,0.206,0.382,0.078,-5.4,67,0,12,2.42,303579.0,,0
R&B,Apple Music,Espanol,Sabado,2019,217,100,0.669,0.159,0.79,0.004,0.3,58,0,1,0.99,177804.0,Independiente,0
Reggaeton,Spotify,Ingles,Jueves,2017,177,141,0.36,0.891,0.253,0.383,-5.0,0,0,32,1.08,29106.0,Sony,0
Cumbia,Deezer,Espanol,Jueves,2011,230,94,0.475,0.782,0.77,0.126,-2.9,26,0,43,8.06,269733.0,Sony,1
Electronica,Spotify,Espanol,Lunes,2024,248,129,0.413,0.759,0.885,0.383,-6.9,73,0,5,11.08,146179.0,Universal,2
Pop,Apple Music,Frances,Viernes,2014,166,123,0.504,0.796,0.816,0.06,-4.6,33,2,30,8.86,240742.0,Warner,2
Cumbia,Spotify,Ingles,Miercoles,2010,229,116,0.787,0.762,0.593,0.086,-7.2,85,0,3,0.65,220113.0,Sony,1
Hip-Hop,Spotify,Coreano,Martes,2013,189,98,0.858,0.172,0.34,0.131,-2.0,86,0,12,0.62,37403.0,Warner,1
Rock,Spotify,Espanol,Sabado,2013,229,65,0.519,0.603,0.461,0.007,-6.6,87,1,23,2.23,296452.0,Universal,1
Reggaeton,Apple Music,Ingles,Jueves,2014,292,86,0.781,0.21,0.57,0.025,-14.1,98,1,21,2.06,10251.0,Sony,1
Rock,YouTube Music,Espanol,Sabado,2011,179,125,0.536,0.551,0.816,0.489,-11.4,67,0,30,3.9,422085.0,Sony,1
Pop,Spotify,Frances,Miercoles,2023,220,126,0.432,0.218,0.65,0.087,-5.5,78,1,28,0.69,463845.0,Warner,1
Pop,Spotify,Espanol,Miercoles,2018,129,148,0.177,0.523,0.63,0.068,-5.8,89,0,48,0.48,241395.0,Independiente,1
Hip-Hop,Spotify,Ingles,Lunes,2010,289,118,0.509,0.282,0.413,0.283,-9.4,100,0,31,15.52,,Universal,2
R&B,YouTube Music,Espanol,Lunes,2021,125,119,0.68,0.568,0.504,0.301,-5.5,91,0,23,11.08,422349.0,Sony,2
Reggaeton,YouTube Music,Portugues,Domingo,2020,216,103,0.749,0.731,0.763,0.136,-1.6,99,0,1,10.04,,Independiente,3
Cumbia,Spotify,Espanol,Lunes,2022,250,110,0.849,0.5,0.907,0.147,<null>,0,1,41,16.34,,Warner,3
Rock,Spotify,Espanol,Miercoles,2023,206,118,0.92,0.871,0.051,0.208,-5.8,45,0,31,2.64,84594.0,Sony,0
Rock,Deezer,Ingles,Lunes,2011,195,151,0.475,0.261,0.73,0.35,-5.7,59,0,1,4.41,83022.0,Independiente,0
Pop,Spotify,Ingles,Martes,2023,204,124,0.541,0.46,0.92,0.206,-4.4,19,0,26,5.25,143130.0,Independiente,1
Pop,Apple Music,Espanol,Miercoles,2022,197,109,0.591,0.217,0.674,0.015,-3.0,38,0,21,2.51,496094.0,Sony,1
Rock,Spotify,Espanol,Lunes,2021,144,104,0.867,0.565,0.442,0.106,-4.5,25,0,19,5.06,22804.0,Universal,1
Clasica,Apple Music,Frances,Domingo,2017,111,74,0.819,0.158,0.559,0.405,-12.0,47,0,22,2.12,,Independiente,0
Cumbia,Deezer,Espanol,Jueves,2012,255,91,0.893,0.191,0.873,0.046,-4.3,18,0,35,17.58,465108.0,Independiente,2
Cumbia,Deezer,Espanol,Miercoles,2024,177,110,0.814,0.489,0.176,0.533,-1.9,12,0,49,9.27,43069.0,Sony,1
Rock,YouTube Music,Espanol,Viernes,2014,208,118,0.549,0.81,0.316,0.178,-3.8,52,0,7,14.37,346439.0,Sony,0
R&B,Apple Music,Coreano,Viernes,2016,159,100,0.975,0.352,0.653,0.575,0.2,44,1,39,4.76,319446.0,Universal,2
Rock,Apple Music,Espanol,Miercoles,2017,197,140,0.699,0.154,0.881,0.096,<null>,76,0,38,11.94,34150.0,Warner,3
Pop,Spotify,Portugues,Miercoles,2018,242,133,0.576,0.925,0.601,0.185,-5.0,41,0,48,4.52,61606.0,Universal,2
R&B,Deezer,Frances,Viernes,2020,189,126,0.5,0.746,0.776,0.044,-6.4,80,1,48,7.12,464960.0,Universal,2
Electronica,YouTube Music,Ingles,Jueves,2022,261,140,0.85,0.266,0.775,0.17,-4.1,8,0,49,11.8,221811.0,Universal,2
Pop,Apple Music,Espanol,Jueves,2012,215,142,0.736,0.262,0.237,0.172,-5.5,73,0,22,7.2,363893.0,,2
Hip-Hop,Spotify,Ingles,Jueves,2010,211,107,0.664,0.366,0.63,0.027,-6.8,59,0,5,0.65,288773.0,Universal,1
Rock,Apple Music,Ingles,Martes,2013,222,108,0.708,0.719,0.105,0.289,-9.7,82,0,46,0.81,188836.0,,1
Metal,Deezer,Portugues,Sabado,2015,220,115,0.927,0.127,0.71,0.007,-5.6,55,0,17,1.3,100812.0,Warner,1
Hip-Hop,Apple Music,Portugues,Sabado,2023,233,109,0.634,0.638,0.908,0.194,-16.1,43,0,38,4.3,282888.0,Sony,1
Cumbia,Spotify,Espanol,Domingo,2012,202,85,0.478,0.485,0.636,0.098,-4.6,7,0,13,2.93,80934.0,Warner,0
Pop,Spotify,Ingles,Martes,2013,174,127,0.928,0.492,0.901,0.109,-7.0,62,3,34,28.52,245558.0,Sony,3
Hip-Hop,Spotify,Espanol,Domingo,2018,261,118,0.786,0.804,0.608,0.011,-6.7,56,0,11,4.61,216191.0,Universal,1
Reggaeton,Tidal,Ingles,Jueves,2021,249,140,0.82,0.472,0.832,0.129,-9.1,21,0,2,11.23,37329.0,Sony,1
Reggaeton,Deezer,Ingles,Viernes,2013,224,90,0.533,0.408,0.217,0.339,-5.5,61,0,5,17.66,137723.0,Sony,2
Rock,Deezer,Espanol,Martes,2024,248,135,0.527,0.702,0.734,0.359,-8.8,1,2,43,9.05,221811.0,Independiente,0
Jazz,YouTube Music,Espanol,Lunes,2010,161,159,0.802,0.359,0.649,0.081,-3.5,73,1,29,2.36,384276.0,,1
R&B,Apple Music,Espanol,Sabado,2012,169,101,0.389,0.434,0.22,<null>,-2.5,16,0,43,2.12,235293.0,Warner,0
Cumbia,Apple Music,Ingles,Martes,2011,232,106,0.696,0.428,0.441,0.022,-6.9,22,0,47,0.6,196318.0,Warner,0
Clasica,Apple Music,Frances,Viernes,2017,157,121,0.573,0.411,0.608,0.312,-8.7,50,0,39,11.07,464239.0,Sony,3
R&B,YouTube Music,Ingles,Viernes,2010,281,127,0.284,0.443,0.81,0.19,-12.7,91,0,1,17.8,248381.0,Universal,1
Reggaeton,Apple Music,Ingles,Miercoles,2024,182,75,0.717,0.38,0.768,0.088,-6.9,50,0,41,2.64,318609.0,Independiente,2
Clasica,YouTube Music,Espanol,Viernes,2020,150,135,0.889,0.398,0.651,0.0,-7.4,0,0,21,15.29,432018.0,Universal,0
Rock,Spotify,Espanol,Domingo,2012,180,81,0.812,0.888,0.871,0.142,-3.8,94,0,24,13.0,73459.0,,3
Hip-Hop,Spotify,Espanol,Jueves,2014,173,134,0.537,0.201,0.55,0.116,-4.5,74,0,12,0.63,52860.0,Sony,0
Rock,YouTube Music,Espanol,Domingo,2017,214,80,0.265,0.594,0.665,0.167,<null>,39,2,18,16.5,475206.0,Sony,1
Hip-Hop,Tidal,Ingles,Viernes,2014,221,103,0.616,0.49,0.877,0.151,-9.7,95,0,31,13.38,,Sony,3
Rock,Apple Music,Frances,Martes,2019,173,137,0.435,0.92,0.763,0.061,-15.3,52,1,25,1.96,479822.0,Universal,1
Cumbia,Spotify,Ingles,Martes,2020,210,104,0.603,0.573,0.819,0.14,-5.0,83,0,34,11.66,85508.0,Sony,3
Rock,Tidal,Ingles,Martes,2019,177,139,0.489,0.371,0.642,0.282,-6.0,70,1,38,14.59,320490.0,Universal,1
Pop,YouTube Music,Espanol,Viernes,2020,250,118,0.702,0.713,0.53,0.004,-1.7,78,0,2,19.86,201139.0,Sony,3
Reggaeton,Apple Music,Espanol,Jueves,2017,167,120,0.93,0.792,0.565,0.414,-2.8,10,1,49,3.44,,Sony,1
Pop,Apple Music,Espanol,Sabado,2014,269,108,0.633,0.083,0.479,0.109,-16.3,2,0,38,5.83,215356.0,Sony,1
Pop,Apple Music,Ingles,Jueves,2016,207,98,0.517,0.142,0.945,0.093,-5.5,84,0,36,3.87,338075.0,Independiente,2
Rock,Apple Music,Ingles,Miercoles,2022,237,153,0.492,0.28,0.651,0.119,-6.8,12,0,34,7.02,431818.0,Sony,1
Hip-Hop,Tidal,Espanol,Lunes,2013,162,120,0.666,0.283,0.578,0.285,-1.0,73,2,49,3.68,370703.0,Sony,2
Hip-Hop,Spotify,Ingles,Jueves,2021,200,87,0.752,0.644,0.355,0.283,-8.4,100,2,51,0.58,9820.0,Sony,2
Clasica,Spotify,Ingles,Domingo,2021,288,129,0.698,0.519,0.443,0.145,-7.6,70,0,48,3.77,88753.0,Universal,2
Metal,Spotify,Espanol,Sabado,2017,188,88,0.314,0.265,0.852,0.008,-9.2,84,1,12,15.99,,Independiente,1
Hip-Hop,Spotify,Ingles,Sabado,2016,224,115,0.803,0.326,0.374,0.227,-4.2,54,0,42,7.06,133481.0,Universal,2
Rock,Spotify,Portugues,Martes,2013,193,91,0.517,0.637,0.571,0.031,-7.3,31,0,26,9.96,382693.0,Independiente,0
Rock,Spotify,Espanol,Miercoles,2015,191,99,0.582,0.323,0.387,0.017,-13.8,78,1,4,4.19,310861.0,Sony,1
Metal,Spotify,Ingles,Sabado,2018,258,121,0.623,0.521,0.335,0.175,-3.4,55,0,21,7.53,154856.0,Universal,1
Pop,Spotify,Espanol,Jueves,2010,265,122,0.979,0.076,0.646,0.466,-11.8,98,2,46,17.03,,Universal,3
Pop,Spotify,Portugues,Jueves,2016,135,92,0.95,0.245,0.494,0.227,-7.1,64,1,9,6.36,483998.0,Universal,0
Clasica,Spotify,Frances,Domingo,2010,188,120,0.544,0.396,0.688,0.153,-12.4,47,0,3,0.35,227487.0,Independiente,1
Reggaeton,YouTube Music,Ingles,Lunes,2016,168,83,0.632,0.407,0.801,0.347,-13.0,96,0,10,0.37,181407.0,Sony,1
Pop,Apple Music,Espanol,Lunes,2016,223,140,0.641,0.726,0.766,0.066,1.0,36,1,4,6.65,213076.0,Universal,1
Rock,Spotify,Ingles,Lunes,2014,227,118,0.885,0.264,0.592,0.466,-10.6,83,0,29,4.94,290045.0,Independiente,2
Cumbia,Apple Music,Espanol,Jueves,2017,179,117,0.847,0.342,0.402,0.176,1.0,10,0,4,1.99,316179.0,Universal,0
R&B,Deezer,Espanol,Sabado,2016,187,101,0.85,0.144,0.276,0.144,-5.1,55,0,31,5.38,435249.0,Sony,1
Jazz,Deezer,Ingles,Domingo,2011,217,102,0.422,0.505,0.202,0.287,-1.4,90,0,2,2.14,387829.0,Universal,0
Reggaeton,Spotify,Espanol,Jueves,2023,199,134,0.409,0.064,0.839,0.136,-3.3,67,0,4,0.11,300319.0,Sony,1
Reggaeton,YouTube Music,Espanol,Martes,2015,247,125,0.597,0.149,0.608,0.037,-9.4,97,0,32,5.99,183415.0,Sony,0
Cumbia,Spotify,Ingles,Viernes,2017,180,136,0.715,0.458,0.673,0.044,-3.5,24,1,46,15.37,430882.0,Universal,2
Cumbia,Spotify,Ingles,Lunes,2010,231,103,0.866,0.478,0.461,0.128,-10.5,53,0,23,2.4,136130.0,Independiente,1
Rock,Spotify,Espanol,Martes,2017,201,113,0.815,0.119,0.398,0.074,-8.5,28,1,41,10.22,87993.0,Sony,3
Clasica,Spotify,Ingles,Martes,2018,253,124,0.458,0.22,0.748,0.379,-8.6,43,1,48,5.98,109168.0,Independiente,1
Pop,Apple Music,Coreano,Sabado,2020,223,113,0.886,0.352,0.468,0.139,-8.9,84,0,33,1.9,284325.0,Independiente,2
Rock,YouTube Music,Espanol,Miercoles,2024,154,126,0.942,0.508,0.933,0.275,-8.8,79,2,31,0.58,196883.0,Sony,1
Electronica,YouTube Music,Ingles,Martes,2021,169,105,0.684,0.903,0.597,0.11,-8.2,42,0,14,15.29,151539.0,Warner,2
Hip-Hop,Spotify,Ingles,Lunes,2018,169,93,0.767,0.149,0.782,0.199,<null>,95,1,6,4.65,,Sony,2
Cumbia,Spotify,Ingles,Viernes,2011,200,125,0.803,0.307,0.382,0.322,<null>,76,0,20,22.21,291250.0,Independiente,2
Pop,Spotify,Espanol,Domingo,2023,197,88,0.683,0.519,0.489,0.157,-8.8,24,1,5,1.73,408216.0,Universal,0
Reggaeton,Spotify,Espanol,Martes,2016,214,158,0.694,0.422,0.877,0.428,-7.6,89,2,0,1.02,105614.0,Universal,2
Cumbia,Deezer,Portugues,Domingo,2010,267,111,0.107,0.625,0.893,0.034,-1.3,59,2,3,5.98,347246.0,Sony,0
Cumbia,YouTube Music,Coreano,Jueves,2020,233,109,0.704,0.415,0.835,0.014,-7.9,50,0,49,5.42,108255.0,Universal,2
Pop,Deezer,Portugues,Jueves,2017,201,122,0.298,0.737,0.868,0.164,-7.1,64,0,21,7.24,191835.0,Sony,1
Hip-Hop,YouTube Music,Coreano,Martes,2016,184,126,0.556,0.429,0.891,0.081,-6.5,88,2,43,14.41,201385.0,Universal,3
Electronica,Apple Music,Ingles,Lunes,2014,249,108,0.761,0.619,0.82,0.067,-7.3,36,1,33,3.52,83815.0,Sony,1
Pop,Spotify,Coreano,Sabado,2019,236,121,0.163,0.591,0.507,0.039,-5.5,32,0,27,1.99,180195.0,Universal,0
Cumbia,Apple Music,Ingles,Sabado,2011,284,107,0.876,0.623,0.579,0.037,-7.6,10,0,46,19.19,35823.0,Independiente,1
Cumbia,Apple Music,Frances,Viernes,2018,242,142,0.693,0.758,0.737,0.09,-6.8,2,1,24,5.31,301231.0,Independiente,0
Pop,YouTube Music,Espanol,Viernes,2019,204,134,0.543,0.664,0.599,0.034,-4.1,65,0,27,5.12,,Universal,0
Pop,Apple Music,Portugues,Lunes,2016,247,107,0.868,0.419,0.502,0.099,-7.8,91,3,44,6.82,386057.0,Warner,2
Pop,Spotify,Espanol,Jueves,2012,281,109,0.368,0.887,0.503,0.028,-7.9,93,1,24,2.64,235390.0,Universal,2
Cumbia,YouTube Music,Espanol,Jueves,2023,188,106,0.899,0.653,0.534,0.08,-6.7,92,3,9,0.86,129933.0,Sony,1
Pop,Tidal,Ingles,Sabado,2014,179,116,0.595,0.168,0.609,0.021,-1.9,58,0,33,2.57,99487.0,Sony,1
Hip-Hop,Apple Music,Espanol,Domingo,2016,167,127,0.588,0.579,0.847,0.217,-2.1,46,0,21,5.9,186918.0,,0
Hip-Hop,YouTube Music,Espanol,Sabado,2016,204,131,0.719,0.42,0.713,0.03,-2.3,62,1,1,4.25,478527.0,Independiente,0
Reggaeton,Spotify,Coreano,Miercoles,2015,189,120,0.623,0.579,0.793,0.232,-10.8,47,0,21,2.92,458210.0,Universal,1
Pop,Apple Music,Ingles,Martes,2020,206,122,0.36,0.875,0.738,0.102,-8.6,72,2,31,0.47,110128.0,Universal,1
Rock,Spotify,Frances,Sabado,2019,201,116,0.518,0.322,0.767,0.464,-2.9,92,2,2,2.82,478837.0,,1
Cumbia,Spotify,Coreano,Martes,2014,231,136,0.404,0.867,0.118,0.005,<null>,83,1,13,10.14,22179.0,Universal,1
Cumbia,YouTube Music,Ingles,Sabado,2013,246,111,0.345,0.503,0.741,0.343,-4.2,2,1,32,0.8,253085.0,Sony,0
Metal,Spotify,Espanol,Domingo,2024,223,156,0.526,0.735,0.864,0.155,-9.2,17,0,47,13.0,325560.0,Universal,2
Pop,YouTube Music,Espanol,Jueves,2015,218,145,0.367,0.671,0.47,0.242,-1.0,68,0,27,1.75,129362.0,Warner,0
Rock,Tidal,Ingles,Martes,2011,217,112,0.947,0.464,0.518,0.071,-10.3,24,0,8,0.39,298413.0,Universal,0
Electronica,Spotify,Ingles,Lunes,2013,175,116,0.492,0.747,0.642,0.003,-6.1,55,0,22,5.21,438637.0,Warner,0
Rock,YouTube Music,Ingles,Viernes,2023,234,60,0.522,0.766,0.922,0.031,-14.6,28,3,15,7.28,324755.0,Sony,0
Cumbia,Apple Music,Ingles,Sabado,2019,218,93,0.718,0.744,0.667,0.035,-5.4,45,2,3,0.96,120472.0,,0
Electronica,Spotify,Espanol,Miercoles,2011,118,109,0.685,0.428,0.532,0.23,-9.1,15,0,41,11.43,108673.0,Sony,1
Pop,YouTube Music,Ingles,Lunes,2022,223,109,0.815,0.288,0.781,0.278,-10.0,52,0,6,7.54,497927.0,Independiente,1
Cumbia,YouTube Music,Espanol,Lunes,2024,205,128,0.925,0.612,0.671,0.03,-13.4,94,0,28,1.09,186087.0,Independiente,1
Cumbia,Apple Music,Frances,Lunes,2023,231,133,0.694,0.597,0.459,0.045,-3.6,39,1,39,11.48,207323.0,Universal,1
Pop,Tidal,Espanol,Martes,2021,232,85,0.192,0.44,0.729,0.014,-9.8,48,2,38,3.68,418661.0,Independiente,0
Reggaeton,Apple Music,Ingles,Viernes,2017,261,95,0.397,0.218,0.428,0.338,1.8,41,0,3,0.3,364417.0,Warner,0
Rock,Deezer,Espanol,Domingo,2010,181,90,0.193,0.702,0.762,0.22,-4.2,99,1,25,1.57,26100.0,Sony,1
Hip-Hop,Apple Music,Portugues,Domingo,2024,148,89,0.539,0.75,0.545,0.138,<null>,61,1,20,7.25,,Sony,0
Pop,Spotify,Espanol,Miercoles,2017,266,117,0.928,0.592,0.244,0.306,-14.5,47,0,32,1.3,433213.0,Universal,1
Reggaeton,Apple Music,Espanol,Jueves,2018,250,136,0.85,0.511,0.986,0.074,-5.9,89,0,28,2.51,236854.0,Independiente,3
Cumbia,Spotify,Ingles,Lunes,2015,183,143,0.815,0.264,0.887,0.252,-10.2,88,1,28,8.09,308078.0,Sony,3
Reggaeton,Apple Music,Frances,Lunes,2022,191,141,0.64,0.462,0.826,0.08,-0.9,98,0,35,2.41,412819.0,Sony,2
Pop,YouTube Music,Frances,Domingo,2023,213,80,0.497,0.472,0.775,0.293,-13.1,14,0,43,3.93,283701.0,,1
Electronica,Apple Music,Espanol,Lunes,2013,211,108,0.46,0.453,0.348,0.029,-9.1,5,1,30,3.03,423975.0,Independiente,0
Rock,Spotify,Ingles,Jueves,2019,174,121,0.488,0.913,0.108,0.046,<null>,55,0,20,22.35,457451.0,Universal,2
R&B,Apple Music,Espanol,Domingo,2016,240,133,0.638,0.274,0.852,0.635,<null>,16,0,5,5.49,397589.0,Universal,0
Hip-Hop,Spotify,Espanol,Sabado,2020,217,67,0.322,0.827,0.504,0.124,-3.6,16,1,35,2.74,367468.0,Independiente,1
Pop,YouTube Music,Ingles,Martes,2018,154,102,0.298,0.591,0.732,0.077,-14.5,0,0,21,4.9,,Independiente,0
Pop,YouTube Music,Espanol,Martes,2023,212,147,0.579,0.35,0.598,0.135,-6.5,95,0,40,25.67,191285.0,Warner,3
Metal,Deezer,Portugues,Viernes,2013,235,116,0.521,0.887,0.791,0.386,-5.6,29,1,36,7.56,,Universal,1
Rock,Spotify,Coreano,Martes,2022,187,145,0.553,0.781,0.628,0.027,-9.6,48,0,20,9.57,278734.0,Independiente,1
Metal,Apple Music,Espanol,Martes,2023,200,131,0.769,0.574,0.541,0.309,-8.0,34,3,31,0.74,,Warner,0
Rock,Apple Music,Espanol,Miercoles,2024,215,105,0.528,0.547,0.141,0.249,-5.0,28,1,23,5.76,36999.0,Universal,0
Rock,Tidal,Ingles,Miercoles,2015,133,128,0.459,0.777,0.775,0.206,-5.5,74,0,44,3.47,404591.0,Sony,1
Hip-Hop,YouTube Music,Ingles,Domingo,2017,202,139,0.669,0.66,0.841,0.28,-10.4,24,1,1,7.72,235236.0,Universal,0
Cumbia,Spotify,Frances,Martes,2012,223,110,0.874,0.707,0.774,0.286,0.4,51,0,42,6.47,292025.0,Universal,1
Cumbia,Apple Music,Frances,Miercoles,2013,214,103,0.957,0.531,0.523,0.005,-5.8,75,0,9,18.99,434834.0,Universal,2
Rock,YouTube Music,Ingles,Sabado,2022,264,97,0.367,0.472,0.87,0.248,-5.8,85,0,31,0.97,212092.0,Independiente,1
Hip-Hop,YouTube Music,Espanol,Viernes,2020,238,135,0.928,0.428,0.444,0.464,<null>,65,1,29,0.09,432999.0,Universal,1
Pop,Tidal,Portugues,Martes,2014,193,135,0.312,0.576,0.401,0.097,-7.8,92,0,26,6.88,311476.0,Sony,1
Reggaeton,Spotify,Espanol,Miercoles,2023,206,100,0.696,0.349,0.226,0.056,-6.9,71,0,41,29.8,14647.0,Universal,3
Hip-Hop,Deezer,Coreano,Jueves,2015,224,93,0.598,0.46,0.352,0.012,-8.5,71,0,23,0.54,142436.0,Warner,0
Cumbia,Spotify,Espanol,Miercoles,2021,103,106,0.898,0.803,0.79,0.023,-7.9,89,0,16,0.69,158263.0,Warner,2
Cumbia,Deezer,Ingles,Miercoles,2024,146,113,0.282,0.929,0.612,0.016,-9.4,40,1,48,9.61,85011.0,Warner,0
Hip-Hop,Tidal,Espanol,Domingo,2022,208,132,0.479,0.717,0.532,0.14,-5.5,57,0,14,14.08,44587.0,Universal,2
Reggaeton,YouTube Music,Ingles,Jueves,2024,282,149,0.516,0.295,0.493,<null>,-0.7,31,0,33,2.63,28055.0,Independiente,0
R&B,YouTube Music,Ingles,Viernes,2020,201,104,0.564,0.251,0.744,0.338,-0.2,85,0,28,1.88,96834.0,Warner,0
Clasica,Spotify,Ingles,Jueves,2021,250,151,0.365,0.553,0.399,0.103,-10.2,29,1,47,18.96,390433.0,Warner,1
Pop,Spotify,Portugues,Viernes,2017,152,96,0.935,0.671,0.543,0.152,-9.0,62,0,26,7.33,10806.0,Independiente,2
Rock,Spotify,Ingles,Sabado,2017,190,130,0.769,0.565,0.302,0.097,-13.6,10,1,19,11.19,,Independiente,0
Hip-Hop,Spotify,Espanol,Domingo,2021,180,143,0.529,0.864,0.494,0.031,1.3,63,1,29,0.12,412444.0,Independiente,1
Rock,Apple Music,Frances,Jueves,2021,221,97,0.622,0.29,0.795,0.087,-4.9,56,0,25,4.1,482841.0,Warner,0
Pop,Spotify,Portugues,Viernes,2024,245,95,0.52,0.574,0.466,0.401,-7.4,87,0,38,2.14,175047.0,Independiente,2
Pop,Tidal,Espanol,Viernes,2021,201,121,0.776,0.451,0.393,0.537,-8.6,79,1,39,6.93,41808.0,Independiente,2
Electronica,Apple Music,Portugues,Lunes,2014,194,139,0.475,0.274,0.901,0.013,-0.4,77,1,32,8.83,415027.0,Independiente,3
Rock,YouTube Music,Coreano,Domingo,2021,264,114,0.482,0.841,0.835,0.121,-6.8,36,0,23,26.93,201398.0,Independiente,3
Pop,YouTube Music,Ingles,Lunes,2015,297,135,0.372,0.214,0.854,0.204,-5.6,98,0,38,1.52,,Sony,2
Rock,Spotify,Espanol,Miercoles,2019,192,131,0.633,0.197,0.842,0.046,-9.2,18,0,24,5.73,497241.0,Warner,1
Clasica,Spotify,Ingles,Jueves,2023,206,88,0.811,0.669,0.866,0.084,-7.8,13,1,11,4.05,456942.0,Independiente,0
R&B,Spotify,Espanol,Viernes,2018,220,118,0.316,0.301,0.427,0.18,-7.9,45,0,40,7.62,248019.0,Independiente,1
Reggaeton,YouTube Music,Ingles,Lunes,2015,225,137,0.605,0.608,0.684,0.038,<null>,66,0,20,1.26,94739.0,Independiente,0
Hip-Hop,Apple Music,Ingles,Miercoles,2015,219,99,0.85,0.171,0.492,0.024,-8.0,92,0,47,1.79,282770.0,Sony,2
Cumbia,Spotify,Coreano,Miercoles,2016,129,103,0.564,0.462,0.504,0.236,<null>,100,0,25,16.68,218050.0,Independiente,2
